"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","new","nation","shall","law","public","can","will","men","war","peopl","time","world","upon","countri","govern"
"2","american","peac","duti","right","industri","must","one","life","unit","spirit","year","freedom","congress","great","state"
"3","america","polici","may","citizen","may","peopl","everi","great","great","liberti","day","nation","parti","everi","power"
"4","let","foreign","offic","equal","revenu","govern","now","chang","state","civil","first","peac","question","present","constitut"
"5","work","justic","public","without","product","make","good","live","forc","prosper","come","know","action","exist","union"
"6","togeth","interest","servic","administr","busi","other","believ","mean","made","found","stand","hope","execut","much","unit"
"7","land","ever","confid","secur","labor","help","countri","even","territori","upon","god","human","may","mani","general"
"8","old","relat","support","protect","demand","need","futur","see","defens","happi","histori","free","opinion","patriot","object"
"9","generat","just","trust","enforc","necessari","done","never","find","extend","republ","presid","seek","legisl","experi","within"
"10","opportun","respect","best","person","interest","use","alway","long","increas","free","today","strength","made","interest","feder"
"11","promis","among","faith","race","encourag","problem","anoth","fear","import","less","now","toward","effect","charact","author"
"12","children","independ","execut","upon","practic","noth","common","thing","sinc","faith","man","progress","differ","result","right"
"13","better","intern","respons","reform","economi","hold","effort","look","progress","bless","place","democraci","constitut","danger","preserv"
"14","ideal","principl","honor","local","condit","continu","give","nation","depend","love","call","earth","control","institut","whole"
"15","respons","never","aid","well","secur","task","sacrific","hope","commerc","rest","heart","mankind","principl","caus","limit"
"16","turn","countri","oblig","accept","tax","constant","follow","hand","time","preserv","word","strong","import","feel","form"
"17","way","maintain","purpos","polit","protect","like","need","want","bear","order","moment","side","measur","section","system"
"18","courag","desir","call","order","restor","knowledg","like","million","militari","mind","fellow","greatest","polit","circumst","domest"
"19","home","promot","countrymen","subject","home","great","purpos","achiev","treati","father","oath","strengthen","given","might","protect"
"20","build","reason","high","influenc","trade","among","requir","yet","popul","exampl","just","long","subject","well","observ"
